series,value,exceedance_probability
Raw market,1e-06,1.0
Raw market,9.3e-05,0.99734
Raw market,0.000441,0.994681
Raw market,0.000522,0.992021
Raw market,0.001163,0.989362
Raw market,0.001681,0.986702
Raw market,0.00295,0.984043
Raw market,0.002998,0.981383
Raw market,0.003455,0.978723
Raw market,0.003769,0.976064
Raw market,0.003788,0.973404
Raw market,0.004717,0.970745
Raw market,0.004779,0.968085
Raw market,0.004912,0.965426
Raw market,0.005429,0.962766
Raw market,0.005649,0.960106
Raw market,0.00593,0.957447
Raw market,0.006143,0.954787
Raw market,0.006394,0.952128
Raw market,0.006914,0.949468
Raw market,0.007419,0.946809
Raw market,0.007582,0.944149
Raw market,0.008029,0.941489
Raw market,0.008069,0.93883
Raw market,0.008173,0.93617
Raw market,0.008377,0.933511
Raw market,0.008594,0.930851
Raw market,0.008658,0.928191
Raw market,0.008992,0.925532
Raw market,0.009165,0.922872
Raw market,0.009428,0.920213
Raw market,0.009578,0.917553
Raw market,0.009774,0.914894
Raw market,0.009811,0.912234
Raw market,0.010226,0.909574
Raw market,0.010518,0.906915
Raw market,0.010943,0.904255
Raw market,0.011156,0.901596
Raw market,0.011326,0.898936
Raw market,0.01145,0.896277
Raw market,0.012002,0.893617
Raw market,0.012035,0.890957
Raw market,0.012747,0.888298
Raw market,0.012918,0.885638
Raw market,0.013714,0.882979
Raw market,0.01393,0.880319
Raw market,0.013971,0.87766
Raw market,0.014018,0.875
Raw market,0.014481,0.87234
Raw market,0.014731,0.869681
Raw market,0.014841,0.867021
Raw market,0.01486,0.864362
Raw market,0.015041,0.861702
Raw market,0.015107,0.859043
Raw market,0.015107,0.856383
Raw market,0.015553,0.853723
Raw market,0.016031,0.851064
Raw market,0.016343,0.848404
Raw market,0.016545,0.845745
Raw market,0.017135,0.843085
Raw market,0.017276,0.840426
Raw market,0.017621,0.837766
Raw market,0.017975,0.835106
Raw market,0.018257,0.832447
Raw market,0.018505,0.829787
Raw market,0.018757,0.827128
Raw market,0.018801,0.824468
Raw market,0.018847,0.821809
Raw market,0.018931,0.819149
Raw market,0.019352,0.816489
Raw market,0.01962,0.81383
Raw market,0.019953,0.81117
Raw market,0.020186,0.808511
Raw market,0.020393,0.805851
Raw market,0.02048,0.803191
Raw market,0.021572,0.800532
Raw market,0.021604,0.797872
Raw market,0.021912,0.795213
Raw market,0.021918,0.792553
Raw market,0.021962,0.789894
Raw market,0.022008,0.787234
Raw market,0.022011,0.784574
Raw market,0.022121,0.781915
Raw market,0.022299,0.779255
Raw market,0.022324,0.776596
Raw market,0.022543,0.773936
Raw market,0.022891,0.771277
Raw market,0.023483,0.768617
Raw market,0.023843,0.765957
Raw market,0.023991,0.763298
Raw market,0.02408,0.760638
Raw market,0.024413,0.757979
Raw market,0.024896,0.755319
Raw market,0.025327,0.75266
Raw market,0.025416,0.75
Raw market,0.025544,0.74734
